"PMN_CODE","COUNTRYCODE","MTC_CHR","GPRS_CHR","SMST_CHR","SMSO_CHR","MOC_CHR_TO_THAILAND","MOC_CHR_LOCAL","MOC_CHR_INTER","GMT_OFFSET","GPRS_MIN","GPRS_ROUND","CHARGE_TYPE","IDD_ACCESS_CODE","ROAMINGAREANUMBER"
"AAM21","46",50000,250,0,15000,92000,34000,57000,1,1,1,"0",,
"AILID","62",36000,470,0,12000,120000,21000,143000,7,1,1,"0",,
"ANTCT","599",105000,600,0,18000,110000,45000,115000,-4,0,0,"0",,
"ARETH","8216",98000,750,0,38000,115000,75000,120000,4,1,1,"0",,
"ARGNC","54",80000,400,0,12000,130000,30000,120000,4,1,1,"0",,
"ARGVO","54",80000,400,0,12000,130000,30000,120000,4,1,1,"0",,
"ARMK9","374",80000,0,0,6000,175000,33000,175000,0,1000,1000,"0",,
"AUSOT","61",39000,530,0,14000,80000,23000,78000,11,1,1,"0",,
"AUTHU","43",70000,450,0,19000,145000,37000,140000,2,1,1,"0",,
"AUTMK","43",70000,450,0,19000,145000,37000,140000,2,1,1,"0",,
"AUTON","43",70000,450,0,19000,145000,37000,140000,2,1,1,"0",,
"HNDDC","504",100000,420,0,12000,90000,32000,95000,-6,1,1,"0",,
"HRVT2","385",65000,400,0,12000,130000,30000,120000,1,1,1,"0",,
"IDNIM","62",36000,470,0,12000,120000,21000,143000,7,1,1,"0",,
"IND01","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IND06","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IND08","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDAH","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDAM","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDBR","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDDL","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDGU","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDHA","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDHC","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDHK","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDHY","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIE","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDIJ","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDKA","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDKE","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDMA","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDMD","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDMU","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDND","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDPE","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDPN","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDPW","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDRS","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"INDTC","91",105000,480,0,20000,96000,47000,96000,5.3,1,1,"0",,
"IRLH3","353",64000,490,0,10000,132000,20000,50000,0,1,1,"0",,
"IRQOR","964",95000,500,0,15000,168000,35000,150000,3,1,1,"0",,
"ISL03","354",60000,650,0,12000,75000,25000,60000,10,1,1,"0",,
"ISLOC","13",289000,0,0,40000,265000,252000,235000,10,0,0,"0",,
"ISRHC","972",78000,640,0,31000,148000,44000,142000,2,1,1,"0",,
"ISRPL","972",78000,640,0,31000,148000,44000,142000,2,1,1,"0",,
"ITABL","39",68000,570,0,13000,126000,42000,83000,1,1,1,"0",,
"ITAGT","11",228000,570,0,15000,200000,200000,150000,1,1,1,"0",,
"ITAH3","39",68000,570,0,13000,126000,42000,83000,1,1,1,"0",,
"JPNDM","81",26000,670,0,12000,80000,26000,85000,9,1,1,"0",,
"JPNEM","81",26000,670,0,12000,80000,26000,85000,9,1,1,"0",,
"JPNKD","81",26000,670,0,12000,80000,26000,85000,9,1,1,"0",,
"KHMSC","855",48000,500,0,12000,86000,30000,91000,0,1,1,"0",,
"KORKT","82",56000,500,0,13000,75000,32000,79000,9,1,1,"0",,
"KORLU","82",56000,500,0,13000,75000,32000,79000,9,1,1,"0",,
"LGTKO","82",56000,500,0,13000,75000,32000,79000,9,1,1,"0",,
"LIETG","423",48000,570,0,13000,120000,35000,80000,1,1,1,"0",,
"MEXNC","52",91000,350,0,13000,116000,35000,98000,-5,1,1,"0",,
"MKDK8","389",95000,800,0,15000,168000,35000,150000,1,1000,1000,"0",,
"MMRVT","95",60000,40,0,12000,45000,25000,80000,6.5,1000,1000,"0",,
"MMRXY","95",0,40,0,0,0,0,0,6.5,1000,1000,"0",,
"MYSMR","60",50000,470,0,16000,76000,15000,86000,8,1,1,"0",,
"MYSSD","60",50000,470,0,16000,76000,15000,86000,8,1,1,"0",,
"NICMS","505",95000,200,0,11000,155000,36000,235000,-6,1,1,"0",,
"NICSC","505",95000,200,0,11000,155000,36000,235000,-6,1,1,"0",,
"NLDDT","31",58000,600,0,14000,99000,36000,70000,2,1000,1000,"0",,
"NLDTM","31",58000,600,0,14000,99000,36000,70000,2,1000,1000,"0",,
"NORAM","8299",275000,750,0,35000,150000,150000,150000,1,1,1,"0",,
"NORMC","8232",90000,550,0,35000,75000,70000,65000,1,1,1,"0",,
"PANDC","507",82000,500,0,21000,130000,32000,120000,-5,1000,1000,"0",,
"PERK9","51",65000,400,0,12000,130000,30000,120000,-5,1000,1000,"0",,
"PERNC","51",65000,400,0,12000,130000,30000,120000,-5,1,1,"0",,
"PHLIC","63",37000,510,0,12000,73000,12000,91000,8,1,1,"0",,
"PHLNC","63",37000,510,0,12000,73000,12000,91000,8,1,1,"0",,
"RUS28","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUSDT","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUSKU","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUSST","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"RUST2","7",58000,650,0,13000,195000,38000,170000,8,1,1,"0",,
"SGP3G","65",45000,300,0,12000,60000,19000,62000,8,1,1,"0",,
"SGPML","65",45000,300,0,12000,60000,19000,62000,8,1,1,"0",,
"SGPMW","65",45000,300,0,12000,60000,19000,62000,8,1,1,"0",,
"SLVDC","503",90000,450,0,9000,115000,35000,115000,-6,1,1,"0",,
"SURDC","597",58000,600,0,18000,80000,26000,80000,-3,1,1,"0",,
"SVNK7","386",95000,800,0,15000,168000,35000,150000,2,1000,1000,"0",,
"SVNK9","386",95000,800,0,15000,168000,35000,150000,2,1000,1000,"0",,
"SWEHU","46",50000,250,0,15000,92000,34000,57000,2,1,1,"0",,
"SWEMI","46",50000,250,0,15000,92000,34000,57000,2,1,1,"0",,
"SWESM","46",50000,250,0,15000,92000,34000,57000,2,1,1,"0",,
"LIEVE","423",48000,570,0,13000,120000,35000,80000,1,1,1,"0",,
"BLZ67","501",105000,260,0,14000,180000,38000,180000,-6,1,1,"0",,
"GTMTG","502",92000,500,0,12000,130000,30000,120000,-6,1,1,"0",,
